ID,Stepartist,Pack,Difficulty,Mode,Rating,Song,BPM,Steps,Measures,Length,16ths,24ths,32nds,Break,% Stream,Adj. % Stream,S/B Ratio,Density,Adj. Density,Breakdown,Tier,16ths Mod,16ths Rank,Diff Rating,Score,DP,EP,DP+EP,DP/EP,RP,AP,Total (no bonuses),Total,
88,Chief Skittles,Skittles Stream Collection,Expert,Single,27,The Star of Collapse Cmod This,270,9480,693,10.29,573,0,0,93,0.8268,0.8604,6.08,15.96,15.94,/144/ (24) /106/ 1 (13) /11/ (12) 112 (3) 1 (3) 1 (3) 1 (3) 1 (3) 1 (3) 1 (3) 1 (3) 63,270,450.4797411,15,93,1,213,875,1088,559,5000,1000,6088,7088,
89,Levitas,The Sound of Speed,Expert,Single,27,Supersonic Advance (Act 3),270,9777,660,10.87,596,0,0,43,0.903,0.9327,13.84,15.09,15.29,/66/ (2) /32/ 1 /31/ (8) /63/ (8) /116/ (12) 34 (2) 100,270,533.1303695,16,93,1,213,938,1151,759,5000,1000,6151,7151,
90,nv,epicer,Expert,Single,27,Starry Jet,288,2432,166,2.31,149,0,0,6,0.8976,0.943,24.83,18.24,18.42,14 (2) 47 8 21 (2) 30 (2) 15 14,280,135.6453707,8,93,1,596,438,1034,388,5000,1000,6034,7034,
91,Levitas,fof,Expert,Single,27,Hawkeye,282,3858,254,3.61,237,0,0,0,0.9331,1,0,18.16,18.75,/158/,280,237,12,93,1,469,688,1157,778,5000,1000,6157,7157,
92,Zaia,Saitama's Ultimate Weapon,Expert,Single,27,Fierce Fight,280,4299,308,4.4,256,0,0,27,0.8312,0.8982,9.48,16.5,17.1,63 64 (12) 1 (3) 63 64 (12) 1,280,215.5940875,10,93,1,426,563,989,245,5000,1000,5989,6989,
93,Levitas,Pendulum Act III,Expert,Single,27,Set Me On Fire,280,4706,356,5.09,284,0,0,52,0.7978,0.8452,5.96,15.96,16.14,*7* *7* ~1~ (6) 1 *80* (18) *48*,280,216.9968959,11,93,1,426,625,1051,442,5000,1000,6051,7051,
94,Levitas,Theoretical Helblinde Pack,Expert,Single,27,Beyond Life (Cut) FB 294,294,1510,101,1.37,94,0,0,2,0.9307,0.9792,47,19.27,19.26,62 (2) 32,290,90.89125525,4,93,1,724,188,912,0,5000,1000,5912,6912,
95,hank,Hank,Expert,Single,27,Monstrum Spectrum (Super Ultimate) (Cut) FB 290,290,1633,113,1.56,102,0,0,0,0.9027,1,0,19.35,19.33,102,290,102,6,93,1,639,313,952,127,5000,1000,5952,6952,
96,nv,epicer,Expert,Single,27,CENSORED!! FB 297,297,2912,237,3.19,161,0,0,56,0.6793,0.7419,3.53,15.91,16.21,/15/ 1 /16/ (14) 1 /9/ 1 /6/ (4) /11/ 1 /16/ (6) 1 /9/ 1 /6/ (8) /19/,290,99.85698973,5,93,1,788,250,1038,400,5000,1000,6038,7038,
97,mattm,Stamina Alley,Expert,Single,27,ever snow,290,3561,265,3.66,215,0,0,34,0.8113,0.8532,6.32,16.49,16.98,8 (2) 46 (8) 1 24 (2) 46 (8) 1 24 (8) 24 (6) 1 40,290,166.7707242,9,93,1,639,500,1139,721,5000,1000,6139,7139,
98,Levitas,Theoretical Chiptune Pack,Expert,Single,27,Starquaker (Hard),300,1889,144,1.92,114,0,0,18,0.7917,0.8636,6.33,16.75,17.64,40 (16) 42 (2) 32,300,90.15816527,3,93,1,852,125,977,207,5000,1000,5977,6977,
99,Levitas,fofmas 2,Expert,Single,27,Solstice Title Screen,300,2108,154,5.5,120,0,0,24,0.7792,0.8163,5,6.47,6.56,16 (4) 49 1 1 1 (14) 49 (2) 1 (2) 1 (2) 1,300,86.72432343,2,93,1,852,63,915,10,5000,1000,5915,6915,
100,Zaia,Saitama's Ultimate Weapon,Expert,Single,27,Satomi Tadashi Pharmacy FB 307,307,2968,249,3.24,149,0,0,72,0.5984,0.6742,2.07,16.36,16.71,1 (7) 1 (4) 15 (9) 40 (3) 1 (7) 1 (12) 16 (17) 2 (5) 2 (4) 6 (2) 48 (2) 16,300,79.29544953,1,93,1,1000,0,1000,280,5000,1000,6000,7000,
101,Storytime,bigger waves,Expert,Single,27,ANSWER,300,3425,278,3.71,199,0,0,71,0.7158,0.7343,2.8,15.74,15.71,16 (16) 17 (3) 29 (3) 16 (16) 17 (3) 29 (19) 29 (3) 3 28 (8) 15,300,121.4089551,7,93,1,852,375,1227,1000,5000,1000,6227,7227,
102,Zaia,Saitama's Ultimate Weapon,Expert,Single,28,Disaster Level- GOD,270,19571,1355,20.07,1154,0,0,177,0.8517,0.8625,6.52,16.33,16.39,6 (4) 16 2 (8) 56 (8) 18 106 (8) 30 (2) 46 (3) 1 (2) 4 (5) 56 (9) 14 (2) 11 (2) 1 (6) 12 (2) 36 (7) 12 19 (2) 66 (2) 56 (16) 15 (11) 45 (18) 47 (6) 45 (16) 63 64 (12) 1 (3) 63 64 (12) 1 (11) 83 79 16,270,910.7944485,13,108,1,0,1000,1000,205,6000,1000,7000,8000,
103,Zaia,Theoretical Sharpnel Pack,Expert,Single,28,Klassiker Einheit FB 285,285,5097,332,4.65,317,0,0,12,0.9548,0.9635,26.38,18.43,18.38,/48/ (8) /163/,280,298.6909145,10,108,1,395,750,1145,700,6000,1000,7145,8145,
104,UVCat,Stamina Secret Santa 2021,Expert,Single,28,Itachi Theme,288,5542,410,5.69,334,0,0,25,0.8146,0.9051,13.36,16.63,17.8,14 (2) 24 (8) 23 6 (2) 15 7 7 7 7 47 15 96 (8) 23 (3) 23 4 (2) 5 11,280,284.748189,9,108,1,474,667,1141,687,6000,1000,7141,8141,
105,StoryTime,Trails of Cold Stream IV,Expert,Single,28,The Decisive Collision FP 282,282,5619,373,5.29,350,0,0,0,0.9383,1,0,18.04,18.8,350,280,350,12,108,1,316,917,1233,1000,6000,1000,7233,8233,
106,Starry Sergal,Enjou Stamina Package,Expert,Single,28,Rollercoaster (F-Zero),280,5883,378,5.4,360,0,0,10,0.9524,0.9626,36,18.3,18.29,7 (2) 65 7 (2) 65 7 (2) 65 7 (2) 65 7 (2) 65,280,338.7005271,11,108,1,264,834,1098,540,6000,1000,7098,8098,
107,StoryTime,Big Waves,Expert,Single,28,When Life Comes,296,3895,287,3.88,236,0,0,28,0.8223,0.8939,8.43,17.41,17.96,136 (28) 100,290,197.230603,6,108,1,685,417,1102,553,6000,1000,7102,8102,
108,Levitas,fof,Expert,Single,28,Flowering Night Fever,290,4161,288,3.97,244,0,0,28,0.8472,0.8841,8.71,18.09,18.16,21 (5) 28 15 16 (8) 15 (10) 23 68 (3) 12 14 (2) 32,290,200.3512476,7,108,1,527,500,1027,297,6000,1000,7027,8027,
109,Levitas,Trails of Cold Stream IV,Expert,Single,28,Don't Be Defeated By A Friend! (Super Arrange),293,4254,329,4.49,248,0,0,51,0.7538,0.8294,5.16,16.15,16.94,/47/ ~1~ /39/ (15) /33/ ~1~ (17) /46/,290,183.8544434,5,108,1,606,334,940,0,6000,1000,6940,7940,
110,Levitas,Big Waves,Expert,Single,28,Mission Complete,293,5397,381,5.21,327,0,0,50,0.8583,0.8674,6.61,17.4,17.4,/160/ (33) /2/ /56/,290,260.4346835,8,108,1,606,584,1190,854,6000,1000,7190,8190,
111,Levitas,Trails of Bad Waveforms 4,Expert,Single,28,Deadly Temptation FB 308,308,1855,133,1.73,114,0,0,0,0.8571,1,0,18.31,20.53,114,300,114,1,108,1,1000,0,1000,205,6000,1000,7000,8000,
112,nico,fof 2 - secret santa,Expert,Single,28,Urn (Part 1),300,3705,285,3.8,216,0,0,32,0.7579,0.8571,6.75,18.38,18.37,59 32 30 32 31 (16) 16 (16) 16,300,168.7734559,4,108,1,790,250,1040,342,6000,1000,7040,8040,
113,StoryTime,Big Waves,Expert,Single,28,Junkie,300,3695,268,3.57,219,0,0,43,0.8172,0.8327,5.09,17.36,17.51,15 (17) 17 (3) 47 (17) 17 (3) 73 (3) 35 15,300,163.39013,3,108,1,790,167,957,59,6000,1000,6957,7957,
114,Zaia,Petriform's Factory,Expert,Single,28,Departure 6 FB 304,304,4258,325,4.28,232,0,0,66,0.7138,0.7759,3.52,16.91,17.59,16 (8) 1 14 (2) 14 (8) 1 (2) 14 (2) 30 (18) 32 (24) 78 (2) 32,300,154.5885017,2,108,1,895,84,979,134,6000,1000,6979,7979,
