ID,Stepartist,Pack,Difficulty,Mode,Rating,Song,BPM,Steps,Measures,Length,16ths,24ths,32nds,Break,% Stream,Adj. % Stream,S/B Ratio,Density,Adj. Density,Breakdown,Tier,16ths Mod,16ths Rank,Diff Rating,Score,DP,EP,DP+EP,DP/EP,RP,AP,Total (no bonuses),Total,
11,Okami,Lindsey Stirling,Expert,Single,12,Zi-Zi's Journey,140,1373,115,3.29,77,0,0,24,0.6696,0.7476,3.21,7.42,7.67,23 16 (24) 7 31,140,48.34611642,13,11,1,435,600,1035,734,1000,1000,2035,3035,
12,ChasePines,Chase'ing' The Pack 3,Expert,Single,12,High Stakes Club,145,1604,132,3.64,80,0,0,37,0.6061,0.64,2.16,7.75,7.75,4 (8) 8 (4) 3 10 2 10 (8) 10 2 2 (13) 3 10 5 (4) 9 2,140,39.17219839,10,11,1,544,450,994,655,1000,1000,1994,2994,
13,t3a,moimoimoimoimoi,Expert,Single,12,Higanbana (Autobahn Remix),140,1784,155,4.43,89,0,0,37,0.5742,0.6544,2.41,7.23,7.44,7 7 7 7 8 (20) 3 7 7 (17) 7 7 7 7 8,140,45.15847545,11,11,1,435,500,935,542,1000,1000,1935,2935,
14,Kyy,Hardbass Madness 2,Expert,Single,12,Purple Lamborghini,150,1052,115,3.07,45,0,0,31,0.3913,0.5696,1.45,5.87,7.21,7 7 (9) 16 (22) 1 7 7,150,18.28624284,5,11,1,653,200,853,384,1000,1000,1853,2853,
15,Rems,SlowStreamz,Expert,Single,12,Blood Is Pumpin' (Hard),150,1891,207,5.52,49,0,0,110,0.2367,0.3063,0.45,5.88,6.37,4 (54) 2 (2) 7 15 (7) 2 (30) 2 (2) 15 (15) 2,150,7.379573709,1,11,1,653,0,653,0,1000,1000,1653,2653,
16,Okami,StS,Expert,Single,12,Lifelight (Camellia's Hardstyle Bootleg),150,1435,151,4.03,55,0,0,55,0.3642,0.4911,1,6.32,7.08,3 16 (28) 16 (22) 1 (5) 3 16,150,17.62928035,4,11,1,653,150,803,288,1000,1000,1803,2803,
17,Xynn,Xynn's Mix Tapes,Expert,Single,12,Flash Dungeon,150,1220,98,2.61,63,0,0,21,0.6429,0.7241,3,8.29,8.41,16 (14) 1 7 24 (2) 2 2 (3) 2 (2) 9,150,37.58531769,9,11,1,653,400,1053,768,1000,1000,2053,3053,
18,@@,$$ MONEY MiNiPACK $$,Expert,Single,12,Ghost FootMerc Remix,160,1060,99,2.47,40,0,0,38,0.404,0.4762,1.05,7.36,7.57,1 (4) 7 3 3 (17) 7 7 3 3 (17) 3 3,160,12.20458502,2,11,1,870,50,920,513,1000,1000,1920,2920,
19,Tuuc,Tuuc's Stam Snack Pack,Expert,Single,12,Ludicrous Speed (Medium),166,1215,121,2.92,50,0,0,59,0.4132,0.4545,0.85,7.37,7.46,16 (33) 16 (26) 2 16,160,14.15872753,3,11,1,1000,100,1100,858,1000,1000,2100,3100,
20,Rems,Eurobeat Is Fantastic - Second Stage,Expert,Single,12,Gimme Your Desire (Hard),160,1273,116,2.9,55,0,0,38,0.4741,0.5914,1.45,7.65,8.46,7 (4) 1 (2) 1 (10) 16 (2) 7 (18) 16 (2) 7,160,23.73410185,6,11,1,870,250,1120,897,1000,1000,2120,3120,
21,Janus5k,Squirrel Metal II,Expert,Single,12,Drink,160,1612,133,3.32,62,0,0,50,0.4662,0.5536,1.24,8.46,8.87,7 (17) 16 (8) 7 (8) 1 (8) 15 (9) 16,160,24.07162559,7,11,1,870,300,1170,993,1000,1000,2170,3170,
22,Xynn,Xynn's Mix Tapes,Expert,Single,13,ITC Jams Vol. 1,128,8993,670,20.94,464,0,0,166,0.6925,0.7073,2.8,7.22,7.24,3 16 (4) 11 16 (3) 1 (3) 9 (16) 27 2 (2) 6 (2) 6 (2) 6 (9) 4 3 (25) 7 (7) 1 7 7 23 5 (3) 8 (7) 8 1 6 (2) 6 7 (8) 8 (8) 3 3 3 (2) 2 3 3 (2) 7 (3) 1 (3) 9 (13) 1 9 (4) 3 16 (8) 8 (4) 1 (3) 25 (3) 7 15 16 (4) 27 19 3 7 16 (16) 7 23 7 16,120,266.614542,21,32,1,0,1000,1000,449,2000,1000,3000,4000,
